Started with matrix size: 20000 , threads count: 2

Started with matrix size: 40000 , threads count: 20
0,401216

Started with matrix size: 40000 , threads count: 20
0,403182

Started with matrix size: 40000 , threads count: 20
0,407203

Started with matrix size: 40000 , threads count: 20
0,404095

Started with matrix size: 40000 , threads count: 20
0,39624

Started with matrix size: 40000 , threads count: 20
0,397186

Started with matrix size: 40000 , threads count: 20
0,379645

Started with matrix size: 40000 , threads count: 20
0,413958

Started with matrix size: 40000 , threads count: 20
0,40121

Started with matrix size: 40000 , threads count: 20
0,41646







Started with matrix size: 40000 , threads count: 40
0,269396

Started with matrix size: 40000 , threads count: 40
0,243058

Started with matrix size: 40000 , threads count: 40
0,22778

Started with matrix size: 40000 , threads count: 40
0,234463

Started with matrix size: 40000 , threads count: 40
0,22714

Started with matrix size: 40000 , threads count: 40
0,232914

Started with matrix size: 40000 , threads count: 40
0,233161

Started with matrix size: 40000 , threads count: 40
0,242174

Started with matrix size: 40000 , threads count: 40
0,225965

Started with matrix size: 40000 , threads count: 40
0,213388

